STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,COMMENT_TS,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_VALUE,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VEN,WB_WDI_TX_VAL_ICTG_ZS_UN,_T,_T,_T,PT,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,ICT goods exports (% of total goods exports),0,WB_WDI,PU,0.01,A,Annual,"Venezuela, RB",ICT goods exports (% of total goods exports),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VNM,WB_WDI_TX_VAL_ICTG_ZS_UN,_T,_T,_T,PT,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,ICT goods exports (% of total goods exports),0,WB_WDI,PU,11.64,A,Annual,Vietnam,ICT goods exports (% of total goods exports),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_TX_VAL_ICTG_ZS_UN,_T,_T,_T,PT,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,ICT goods exports (% of total goods exports),0,WB_WDI,PU,0.97,A,Annual,West Bank and Gaza,ICT goods exports (% of total goods exports),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,YEM,WB_WDI_TX_VAL_ICTG_ZS_UN,_T,_T,_T,PT,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,ICT goods exports (% of total goods exports),0,WB_WDI,PU,0.01,A,Annual,"Yemen, Rep.",ICT goods exports (% of total goods exports),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_TX_VAL_ICTG_ZS_UN,_T,_T,_T,PT,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,ICT goods exports (% of total goods exports),0,WB_WDI,PU,0.04,A,Annual,Zambia,ICT goods exports (% of total goods exports),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_TX_VAL_ICTG_ZS_UN,_T,_T,_T,PT,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,ICT goods exports (% of total goods exports),0,WB_WDI,PU,0.04,A,Annual,Zimbabwe,ICT goods exports (% of total goods exports),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFE,WB_WDI_TX_VAL_ICTG_ZS_UN,_T,_T,_T,PT,_Z,_Z,_Z,2012,_Z,RATIO,2,WB_WDI,P1Y,ICT goods exports (% of total goods exports),0,WB_WDI,PU,0.9501865782751109,A,Annual,Eastern & Southern Africa,ICT goods exports (% of total goods exports),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFW,WB_WDI_TX_VAL_ICTG_ZS_UN,_T,_T,_T,PT,_Z,_Z,_Z,2012,_Z,RATIO,2,WB_WDI,P1Y,ICT goods exports (% of total goods exports),0,WB_WDI,PU,0.03465943358099916,A,Annual,Western & Central Africa,ICT goods exports (% of total goods exports),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARB,WB_WDI_TX_VAL_ICTG_ZS_UN,_T,_T,_T,PT,_Z,_Z,_Z,2012,_Z,RATIO,2,WB_WDI,P1Y,ICT goods exports (% of total goods exports),0,WB_WDI,PU,3.7467503261318207,A,Annual,Arab World,ICT goods exports (% of total goods exports),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CSS,WB_WDI_TX_VAL_ICTG_ZS_UN,_T,_T,_T,PT,_Z,_Z,_Z,2012,_Z,RATIO,2,WB_WDI,P1Y,ICT goods exports (% of total goods exports),0,WB_WDI,PU,0.37808037154099206,A,Annual,Caribbean small states,ICT goods exports (% of total goods exports),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
