Country,Year,ICT_Exports_Percent
Australia,2010,0.96
Australia,2011,0.85
Australia,2012,0.88
Australia,2013,0.92
Australia,2014,1.08
Australia,2015,1.4
Australia,2016,1.31
Australia,2017,1.1
Australia,2018,1.0
Australia,2019,1.1
Australia,2020,1.04
Australia,2021,0.87
Australia,2022,0.7
Canada,2010,2.76
Canada,2011,2.48
Canada,2012,2.27
Canada,2013,2.09
Canada,2014,1.93
Canada,2015,2.14
Canada,2016,2.12
Canada,2017,1.95
Canada,2018,1.83
Canada,2019,1.83
Canada,2020,1.72
Canada,2021,1.48
Canada,2022,1.37
Germany,2010,5.28
Germany,2011,4.64
Germany,2012,4.51
Germany,2013,4.33
Germany,2014,4.52
Germany,2015,4.65
Germany,2016,4.71
Germany,2017,4.96
Germany,2018,4.96
Germany,2019,4.9
Germany,2020,5.17
Germany,2021,5.12
Germany,2022,4.77
United Kingdom,2010,5.78
United Kingdom,2011,4.67
United Kingdom,2012,4.24
United Kingdom,2013,3.82
United Kingdom,2014,4.16
United Kingdom,2015,4.1
United Kingdom,2016,4.5
United Kingdom,2017,4.25
United Kingdom,2018,3.87
United Kingdom,2019,4.0
United Kingdom,2020,4.19
United Kingdom,2021,3.68
United Kingdom,2022,3.39
United States,2010,10.56
United States,2011,9.51
United States,2012,9.03
United States,2013,8.88
United States,2014,8.97
United States,2015,9.44
United States,2016,9.65
United States,2017,9.48
United States,2018,8.9
United States,2019,8.74
United States,2020,9.67
United States,2021,9.07
United States,2022,7.85
